,Names,Prices,Bank_offer,Exchanges,Images,Ratings,Ratings_and_Reviews,Features
0,"realme P4 5G (Engine Blue, 128 GB)","₹15,999","FiltersCATEGORIESMobiles & AccessoriesMobilesBrandrealmeRAM8 GB and Above6 GBNetwork TypeInternal StorageTypeProcessor BrandClock SpeedBattery CapacityOperating SystemSpecialitySim TypeScreen SizeNumber of CoresPrice......Min₹10000₹15000₹20000₹30000to₹10000₹15000₹20000₹30000₹30000+Discount20% or more10% or more50% or more40% or more30% or more?Customer RatingsPrimary CameraSecondary CameraOffersSpecial PriceBuy More, Save MoreNo Cost EMIFeaturesAvailabilityGST Invoice Available",Top Discount of the Sale,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/4/p/-original-imahf47e6gzt3ggw.jpeg?q=70,4.4,"10,556 Ratings & 698 Reviews",6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
1,"realme P4 5G (Steel Grey, 128 GB)","₹15,999",Need help?Help me decide,"Upto ₹12,100 Off on Exchange",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70,4.4,"10,556 Ratings & 698 Reviews",6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
2,"realme P4 5G (Forge Red, 128 GB)","₹15,999","Add to Comparerealme P4 5G (Engine Blue, 128 GB)4.410,556 Ratings & 698 Reviews6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹15,999₹20,99923% offTop Discount of the SaleUpto ₹12,100 Off on Exchange",Top Discount of the Sale,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/y/g/-original-imahf47ehu3f5gxa.jpeg?q=70,4.4,"10,556 Ratings & 698 Reviews",6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
3,"realme P4 5G (Steel Grey, 256 GB)","₹18,999","Add to Comparerealme P4 5G (Steel Grey, 128 GB)4.410,556 Ratings & 698 Reviews6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹15,999₹20,99923% offTop Discount of the SaleUpto ₹12,100 Off on Exchange","Upto ₹12,100 Off on Exchange",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
4,"realme P4 5G (Forge Red, 128 GB)","₹16,999","Add to Comparerealme P4 5G (Forge Red, 128 GB)4.410,556 Ratings & 698 Reviews6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹15,999₹20,99923% offTop Discount of the SaleUpto ₹12,100 Off on Exchange",Top Discount of the Sale,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/y/g/-original-imahf47ehu3f5gxa.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
5,"realme P4 5G (Engine Blue, 128 GB)","₹16,999","Add to Comparerealme P4 5G (Steel Grey, 256 GB)4.46,706 Ratings & 502 Reviews8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹18,999₹23,99920% offTop Discount of the SaleUpto ₹14,250 Off on Exchange","Upto ₹12,100 Off on Exchange",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/4/p/-original-imahf47e6gzt3ggw.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
6,"realme P4 5G (Steel Grey, 128 GB)","₹16,999","Add to Comparerealme P4 5G (Forge Red, 128 GB)4.46,706 Ratings & 502 Reviews8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹16,999₹21,99922% offTop Discount of the SaleUpto ₹12,950 Off on Exchange",Top Discount of the Sale,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
7,"realme P4 5G (Engine Blue, 256 GB)","₹18,999","Add to Comparerealme P4 5G (Engine Blue, 128 GB)4.46,706 Ratings & 502 Reviews8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹16,999₹21,99922% offTop Discount of the SaleUpto ₹12,950 Off on Exchange","Upto ₹14,250 Off on Exchange",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/4/p/-original-imahf47e6gzt3ggw.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
8,"realme P4 5G (Forge Red, 256 GB)","₹18,999","Add to Comparerealme P4 5G (Steel Grey, 128 GB)4.46,706 Ratings & 502 Reviews8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹16,999₹21,99922% offTop Discount of the SaleUpto ₹12,950 Off on Exchange",Top Discount of the Sale,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/y/g/-original-imahf47ehu3f5gxa.jpeg?q=70,4.4,"6,706 Ratings & 502 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
9,,,"Coming SoonAdd to Comparerealme P4 5G (Engine Blue, 256 GB)4.46,706 Ratings & 502 Reviews8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹18,999₹23,99920% off","Upto ₹12,950 Off on Exchange",,,,
